"metro_area","metro_recruit_count","metro_nfl_count","oos_prop","ins_prop","avg_dist","d1_prop","p5_prop","g5_prop"
"Augusta-Richmond County, GA-SC",68,15,0.4,0.6,291.313010780771,1,0.666666666666667,0.2
"Baton Rouge, LA",232,45,0.4,0.6,320.840558262828,1,0.577777777777778,0.311111111111111
"Buffalo-Cheektowaga-Olean, NY",43,20,0.4,0.6,317.467510359378,0.95,0.3,0.4
"Charleston-North Charleston, SC",64,18,0.388888888888889,0.611111111111111,202.207942606164,0.888888888888889,0.777777777777778,0.111111111111111
"Charlottesville, VA",19,32,0.5625,0.4375,409.104363407017,0.9375,0.65625,0.125
"Columbia-Orangeburg-Newberry, SC",127,25,0.2,0.8,123.82564828758,0.84,0.6,0.08
"Fayetteville-Sanford-Lumberton, NC",78,18,0.277777777777778,0.722222222222222,176.417628418311,0.944444444444444,0.722222222222222,0.111111111111111
"Hartford-East Hartford, CT",68,22,0.727272727272727,0.272727272727273,624.938110265635,1,0.545454545454545,0.227272727272727
"Huntsville-Decatur, AL",109,21,0.476190476190476,0.523809523809524,178.393347569623,0.952380952380952,0.714285714285714,0.142857142857143
"Little Rock-North Little Rock, AR",104,20,0.1,0.9,145.548426753653,0.85,0.65,0.2
"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",110,22,0.318181818181818,0.681818181818182,141.889782203962,0.909090909090909,0.727272727272727,0.181818181818182
"Macon-Bibb County--Warner Robins, GA",82,17,0.705882352941177,0.294117647058823,552.447428648237,0.941176470588235,0.823529411764706,0.117647058823529
"New York-Newark, NY-NJ-CT-PA",915,188,0.648936170212766,0.351063829787234,506.406653538963,0.946808510638298,0.627659574468085,0.186170212765957
"Omaha-Council Bluffs-Fremont, NE-IA",96,23,0.478260869565217,0.521739130434783,424.444496605923,0.869565217391304,0.652173913043478,0.173913043478261
"Philadelphia-Reading-Camden, PA-NJ-DE-MD",557,109,0.660550458715596,0.339449541284404,431.07330018793,0.908256880733945,0.660550458715596,0.119266055045872
"Portland-Vancouver-Salem, OR-WA",163,32,0.34375,0.65625,648.182183044138,0.9375,0.5,0.1875
"Rural, MS",337,62,0.338709677419355,0.661290322580645,190.065636893886,0.935483870967742,0.596774193548387,0.258064516129032
"Rural, SC",72,16,0.1875,0.8125,157.446545126398,1,0.6875,0.125
"Rural, VA",73,33,0.696969696969697,0.303030303030303,276.112931906711,0.96969696969697,0.787878787878788,0.0909090909090909
"Sacramento-Roseville, CA",225,52,0.461538461538462,0.538461538461538,558.415307353246,0.961538461538462,0.5,0.384615384615385
"San Jose-San Francisco-Oakland, CA",607,128,0.5703125,0.4296875,709.980713423035,0.96875,0.5859375,0.265625
"Savannah-Hinesville-Statesboro, GA",49,15,0.6,0.4,311.419433748594,1,0.733333333333333,0.2
"St. Louis-St. Charles-Farmington, MO-IL",256,55,0.545454545454545,0.454545454545455,439.222887651825,0.872727272727273,0.545454545454545,0.109090909090909
"Wichita-Winfield, KS",65,17,0.470588235294118,0.529411764705882,321.944622606446,0.882352941176471,0.647058823529412,0.117647058823529
