school,edu_rank,school_city,state_province
Air Force,53,Colorado Springs,CO
Akron,664,Akron,OH
Alabama,194,Tuscaloosa,AL
Appalachian State,304,Boone,NC
Arizona,278,Tucson,AZ
Arizona State,204,Tempe,AZ
Arkansas,225,Fayetteville,AR
Arkansas State,510,Jonesboro,AR
Army,58,West Point,NY
Auburn,186,Auburn,AL
Ball State,432,Muncie,IN
Baylor,117,Waco,TX
Boise State,660,Boise City,ID
Boston College,62,Boston,MA
Bowling Green,628,Bowling Green,OH
Buffalo,203,Buffalo,NY
BYU,92,Provo,UT
California,40,Berkeley,CA
Central Michigan,594,Mount Pleasant,MI
Charlotte,487,Charlotte,NC
Cincinnati,198,Cincinnati,OH
Clemson,120,Clemson,SC
Coastal Carolina,759,Conway,SC
Colorado,237,Boulder,CO
Colorado State,301,Fort Collins,CO
Duke,7,Durham,NC
East Carolina,656,Greenville,NC
Eastern Michigan,658,Ypsilanti,MI
Florida International,357,Miami,FL
Florida,78,Gainesville,FL
Florida Atlantic,458,Boca Raton,FL
Florida State,112,Tallahassee,FL
Fresno State,727,Fresno,CA
Georgia,88,Athens,GA
Georgia Southern,442,Statesboro,GA
Georgia State,438,Atlanta,GA
Georgia Tech,43,Atlanta,GA
Hawai'i,447,Honolulu,HI
Houston,221,Houston,TX
Illinois,108,Champaign,IL
Indiana,164,Bloomington,IN
Iowa,224,Iowa City,IA
Iowa State,251,Ames,IA
Kansas,270,Lawrence,KS
Kansas State,250,Manhattan,KS
Kent State,587,Kent,OH
Kentucky,332,Lexington-Fayette,KY
Liberty,336,Lynchburg,VA
Louisiana,344,Lafayette,LA
Louisiana Monroe,682,Monroe,LA
Louisiana Tech,249,Ruston,LA
Louisville,256,Louisville,KY
LSU,268,Baton Rouge,LA
Marshall,420,Huntington,WV
Maryland,103,College Park,MD
Memphis,707,Memphis,TN
Miami,73,Coral Gables,FL
Miami (OH),174,Oxford,OH
Michigan,36,Ann Arbor,MI
Michigan State,156,East Lansing,MI
Middle Tennessee,248,Murfreesboro,TN
Minnesota,115,Minneapolis,MN
Mississippi State,188,Starkville,MS
Missouri,228,Columbia,MO
Navy,52,Annapolis,MD
NC State,111,Raleigh,NC
Nebraska,208,Lincoln,NE
Nevada,395,Reno,NV
New Mexico,350,Albuquerque,NM
New Mexico State,429,Las Cruces,NM
North Carolina,50,Chapel Hill,NC
North Texas,439,Denton,TX
Northern Illinois,537,DeKalb,IL
Northwestern,10,Evanston,IL
Notre Dame,19,South Bend,IN
Ohio,343,Athens,OH
Ohio State,106,Columbus,OH
Oklahoma,206,Norman,OK
Oklahoma State,222,Stillwater,OK
Old Dominion,513,Norfolk,VA
Ole Miss,314,Oxford,MS
Oregon,290,Eugene,OR
Oregon State,288,Corvallis,OR
Penn State,125,State College,PA
Pittsburgh,126,Pittsburgh,PA
Purdue,107,West Lafayette,IN
Rice,15,Houston,TX
Rutgers,150,New Brunswick,NJ
San Diego State,308,San Diego,CA
San José State,291,San Jose,CA
SMU,100,Dallas,TX
South Alabama,483,Mobile,AL
South Carolina,178,Columbia,SC
South Florida,138,Tampa,FL
Southern Mississippi,585,Hattiesburg,MS
Stanford,3,Palo Alto,CA
Syracuse,147,Syracuse,NY
TCU,113,Fort Worth,TX
Temple,218,Philadelphia,PA
Tennessee,205,Knoxville,TN
Texas,77,Austin,TX
Texas A&M,133,College Station,TX
Texas State,349,San Marcos,TX
Texas Tech,255,Lubbock,TX
Toledo,682,Toledo,OH
Troy,407,Troy,AL
Tulane,54,New Orleans,LA
Tulsa,94,Tulsa,OK
UAB,283,Birmingham,AL
UCF,169,Orlando,FL
UCLA,39,Los Angeles,CA
Connecticut,162,Storrs,CT
UMass,175,Amherst,MA
UNLV,713,Las Vegas,NV
USC,21,Los Angeles,CA
UTEP,367,El Paso,TX
UT San Antonio,751,San Antonio,TX
Utah,161,Salt Lake City,UT
Utah State,401,Logan,UT
Vanderbilt,14,Nashville,TN
Virginia,45,Charlottesville,VA
Virginia Tech,137,Blacksburg,VA
Wake Forest,55,Winston-Salem,NC
Washington,114,Seattle,WA
Washington State,285,Pullman,WA
West Virginia,338,Morgantown,WV
Western Kentucky,484,Bowling Green,KY
Western Michigan,606,Kalamazoo,MI
Wisconsin,99,Madison,WI
Wyoming,316,Laramie,WY
